file,species
148bbda66.png,Charlock
44e8b8833.png,Small-flowered Cranesbill
ace8761dd.png,Fat Hen
fadc6adbc.png,Charlock
cbe761896.png,Charlock
02cfeb38d.png,Loose Silky-bent
6ba4ef411.png,Cleavers
a8da9c08d.png,Small-flowered Cranesbill
3bbef3ecb.png,Fat Hen
8a30b2de3.png,Sugar beet
4f83143e1.png,Maize
4c7838de4.png,Loose Silky-bent
a55d26a4c.png,Common Chickweed
593896f83.png,Sugar beet
770a265f5.png,Cleavers
060f1dc84.png,Cleavers
d5f7dd60a.png,Fat Hen
8f523520c.png,Shepherds Purse
b3e08b037.png,Fat Hen
a9d2eab61.png,Loose Silky-bent
7506c0c02.png,Scentless Mayweed
7f46a71db.png,Sugar beet
11d3f68ff.png,Loose Silky-bent
64fe8beb9.png,Sugar beet
37297a64c.png,Common Chickweed
a0b393945.png,Small-flowered Cranesbill
03566743d.png,Shepherds Purse
cd5f0db1c.png,Small-flowered Cranesbill
446f7da01.png,Fat Hen
cec5bf198.png,Fat Hen
410e6f702.png,Small-flowered Cranesbill
270b939cf.png,Fat Hen
ef9676433.png,Charlock
6edc76e7c.png,Small-flowered Cranesbill
20817c846.png,Scentless Mayweed
48d97c645.png,Cleavers
23bc8ec4f.png,Common Chickweed
fdea6b119.png,Loose Silky-bent
851c90831.png,Black-grass
d6d80a321.png,Shepherds Purse
71b232519.png,Loose Silky-bent
b29339405.png,Black-grass
0c5f6c493.png,Loose Silky-bent
cf46d09c5.png,Common Chickweed
f48916a8c.png,Fat Hen
20e562fd5.png,Sugar beet
e84464f5a.png,Small-flowered Cranesbill
0751c0bbc.png,Sugar beet
a83820a2c.png,Sugar beet
e52493d0b.png,Sugar beet
8e2e5604e.png,Fat Hen
c0d9e170b.png,Small-flowered Cranesbill
ab35453cb.png,Cleavers
2dd5cfba9.png,Small-flowered Cranesbill
976e4e079.png,Common Chickweed
0c45ace27.png,Fat Hen
ef74dbcad.png,Sugar beet
e88bf0db9.png,Small-flowered Cranesbill
7d22abf91.png,Common wheat
59b2c6f2b.png,Common Chickweed
78b1bf91a.png,Sugar beet
6dd095129.png,Common Chickweed
f4021df6c.png,Scentless Mayweed
f593c9cf0.png,Sugar beet
e98e5d1d5.png,Loose Silky-bent
8303b27ed.png,Loose Silky-bent
03e322a29.png,Sugar beet
c5e419015.png,Sugar beet
126a71ce0.png,Charlock
24a058589.png,Charlock
b7ad92859.png,Shepherds Purse
0086a6340.png,Scentless Mayweed
e82017baa.png,Loose Silky-bent
6df8e31ea.png,Small-flowered Cranesbill
82b5f4d33.png,Shepherds Purse
2126dc71b.png,Fat Hen
0dba99002.png,Fat Hen
659412b1a.png,Common wheat
a1da8be3c.png,Charlock
5bd71f445.png,Sugar beet
31fcdc161.png,Maize
5779fe8b4.png,Fat Hen
fda0b5c38.png,Common wheat
a544fc46d.png,Scentless Mayweed
9aa5587fe.png,Black-grass
604dd663f.png,Shepherds Purse
df7cb5f87.png,Common wheat
33748968f.png,Cleavers
5883b423d.png,Common wheat
30ad31220.png,Charlock
55920f07f.png,Maize
288564c76.png,Sugar beet
24d78df74.png,Fat Hen
5bc6595f6.png,Maize
1cfd91582.png,Charlock
54c8bb900.png,Charlock
bea23d9f8.png,Scentless Mayweed
85431c075.png,Loose Silky-bent
39858776a.png,Cleavers
2df78338c.png,Sugar beet
a935ca110.png,Loose Silky-bent
ede6b84b4.png,Cleavers
a4b61a4ea.png,Loose Silky-bent
26852751a.png,Small-flowered Cranesbill
0bf7bfb05.png,Loose Silky-bent
d14aa43f3.png,Small-flowered Cranesbill
55251925f.png,Fat Hen
29bab7cad.png,Sugar beet
86f08e6d1.png,Fat Hen
4bbfd1e05.png,Small-flowered Cranesbill
35ebe165c.png,Loose Silky-bent
9c8b08a24.png,Loose Silky-bent
bfab3e3d0.png,Fat Hen
043449b0b.png,Sugar beet
9643fc5f4.png,Charlock
6d6eb3830.png,Shepherds Purse
5bbc0a255.png,Common Chickweed
a3d0031fd.png,Common wheat
780defa2e.png,Common Chickweed
42e7ed442.png,Shepherds Purse
77ccb8b2a.png,Small-flowered Cranesbill
47f9e5d91.png,Common Chickweed
0fb233ad6.png,Small-flowered Cranesbill
b6a3f7876.png,Sugar beet
2406d6c99.png,Fat Hen
808578ed5.png,Cleavers
780bd2a2c.png,Sugar beet
d09d24c58.png,Black-grass
0625f063b.png,Sugar beet
0ad9e7dfb.png,Cleavers
b4f7c9214.png,Black-grass
0ebf8f2f4.png,Maize
258b1183c.png,Maize
721be0a4a.png,Loose Silky-bent
f23faf9c1.png,Loose Silky-bent
3da774107.png,Sugar beet
f33e9d918.png,Fat Hen
8585f9718.png,Loose Silky-bent
6680836dd.png,Sugar beet
c5e88cd42.png,Common Chickweed
16467a950.png,Common wheat
96f14d90c.png,Sugar beet
3eebd36c6.png,Charlock
d8f4923f8.png,Common Chickweed
88d8a4508.png,Scentless Mayweed
ce42adffb.png,Loose Silky-bent
e5064f6be.png,Common Chickweed
1f3f44563.png,Maize
699d3c707.png,Sugar beet
32b42c120.png,Small-flowered Cranesbill
8a8d6c712.png,Cleavers
92292055d.png,Common Chickweed
4c8005bbc.png,Black-grass
5817b766d.png,Shepherds Purse
05341a8a6.png,Common wheat
391dcd7fd.png,Loose Silky-bent
aaf4da98f.png,Sugar beet
b145ba9d4.png,Common Chickweed
c6c8d4ba0.png,Loose Silky-bent
9a3f20121.png,Black-grass
dfb1d9012.png,Black-grass
1926e82fd.png,Common wheat
b6f3d8b5d.png,Fat Hen
86c309150.png,Fat Hen
20f983a71.png,Fat Hen
6a47821f9.png,Loose Silky-bent
2f0004a7f.png,Loose Silky-bent
29f49cd0b.png,Fat Hen
e3f50adfc.png,Cleavers
4e9d3765f.png,Charlock
1b6a6494d.png,Fat Hen
754b1adf8.png,Small-flowered Cranesbill
958bb9e96.png,Charlock
f4ad9d950.png,Common Chickweed
fc6f686fb.png,Fat Hen
2a5064f19.png,Loose Silky-bent
b31292706.png,Common Chickweed
856f2910a.png,Small-flowered Cranesbill
ce3d280eb.png,Sugar beet
f0ffa00bd.png,Fat Hen
97844bfd5.png,Sugar beet
060450d79.png,Fat Hen
4e1190d78.png,Loose Silky-bent
9c32a797e.png,Common wheat
5ca2687a4.png,Maize
fea355851.png,Loose Silky-bent
a006a475c.png,Sugar beet
338c7e907.png,Charlock
87608f7aa.png,Charlock
6bce55e05.png,Cleavers
7b21ba6ba.png,Fat Hen
ad12382d4.png,Common wheat
ae90f2827.png,Sugar beet
187668bde.png,Scentless Mayweed
f8318faf1.png,Scentless Mayweed
98da6ef4e.png,Fat Hen
f4e7733d4.png,Cleavers
466bb6d3b.png,Maize
8e3ed0a25.png,Small-flowered Cranesbill
dd9f36df7.png,Small-flowered Cranesbill
b4c3df835.png,Sugar beet
3efa1f66c.png,Loose Silky-bent
bffc08672.png,Cleavers
e19ad6ac9.png,Small-flowered Cranesbill
59c6a9f95.png,Cleavers
bebcaab66.png,Sugar beet
17a78fb44.png,Loose Silky-bent
e9cd91682.png,Common Chickweed
17529c555.png,Shepherds Purse
c7ae30f3a.png,Sugar beet
892e9d6c6.png,Scentless Mayweed
76555b064.png,Loose Silky-bent
c75a82234.png,Sugar beet
b7a7f6390.png,Fat Hen
668c1007c.png,Charlock
4ea7493d5.png,Fat Hen
d102e1a15.png,Cleavers
966ae5ad9.png,Loose Silky-bent
cf3a8b2fd.png,Loose Silky-bent
53e6e9000.png,Common wheat
8b9144917.png,Cleavers
953496deb.png,Fat Hen
8455169fe.png,Loose Silky-bent
521b27a17.png,Loose Silky-bent
13b9fa92d.png,Fat Hen
948cdb277.png,Cleavers
afcf6abd5.png,Small-flowered Cranesbill
d6c8c3c48.png,Small-flowered Cranesbill
558aa7deb.png,Loose Silky-bent
752101fdf.png,Small-flowered Cranesbill
67ce3eaa6.png,Small-flowered Cranesbill
f6d250856.png,Cleavers
5bdcfa329.png,Loose Silky-bent
d2f422ccb.png,Cleavers
74068643d.png,Loose Silky-bent
79e5ea8fa.png,Loose Silky-bent
0c51bf229.png,Cleavers
a8c8a1db0.png,Cleavers
177d7e2a4.png,Sugar beet
a7bd7cadb.png,Sugar beet
da231c97f.png,Shepherds Purse
1541bdb2e.png,Maize
e15fce4f2.png,Shepherds Purse
fc3e58836.png,Shepherds Purse
e5368474f.png,Common Chickweed
ef3e232ad.png,Sugar beet
1459e96a0.png,Small-flowered Cranesbill
91e469b4a.png,Small-flowered Cranesbill
0885e7690.png,Scentless Mayweed
4287d810c.png,Scentless Mayweed
835dc5447.png,Small-flowered Cranesbill
c5078bac5.png,Loose Silky-bent
1191ba346.png,Cleavers
